,customer_id,product_id,shop_id,quantity,price,distance
0,u1,p112,s1,3,0.334,4082.52216298
1,u1,p133,s1,1,1.048,4082.52216298
2,u1,p248,s1,2,263.234,4082.52216298
3,u1,p318,s1,1,1.429,4082.52216298
4,u1,p326,s1,1,0.465,4082.52216298
5,u1,p336,s1,1,21.639,4082.52216298
6,u1,p338,s1,2,6.356,4082.52216298
7,u1,p356,s1,2,0.909,4082.52216298
8,u1,p379,s1,1,1.171,4082.52216298
9,u1,p380,s1,1,1.368,4082.52216298
10,u1,p442,s1,1,1.883,4082.52216298
11,u1,p446,s1,3,1.605,4082.52216298
12,u1,p450,s1,1,1.817,4082.52216298
13,u1,p453,s1,1,1.826,4082.52216298
14,u1,p485,s1,1,1.726,4082.52216298
15,u1,p488,s1,1,2.245,4082.52216298
16,u1,p495,s1,2,6.256,4082.52216298
17,u1,p497,s1,2,1.133,4082.52216298
18,u1,p502,s1,1,1.462,4082.52216298
19,u1,p505,s1,1,2.167,4082.52216298
20,u1,p521,s1,1,0.919,4082.52216298
21,u1,p533,s1,1,3.639,4082.52216298
22,u1,p1010,s1,1,2.073,4082.52216298
23,u1,p1174,s1,1,5.363,4082.52216298
24,u1,p1251,s1,1,6.685,4082.52216298
25,u1,p1259,s1,1,7.334,4082.52216298
26,u1,p1276,s1,1,2.124,4082.52216298
27,u1,p1415,s1,2,1.005,4082.52216298
28,u1,p1615,s1,1,3.072,4082.52216298
29,u1,p1654,s1,2,1.342,4082.52216298
30,u1,p1706,s1,1,1.479,4082.52216298
31,u1,p1723,s1,1,2.215,4082.52216298
32,u1,p1801,s1,1,2.442,4082.52216298
33,u1,p1932,s1,1,1.579,4082.52216298
34,u1,p1968,s1,1,3.377,4082.52216298
35,u1,p1981,s1,1,0.875,4082.52216298
36,u1,p2011,s1,1,0.642,4082.52216298
37,u1,p2027,s1,2,1.645,4082.52216298
38,u1,p2028,s1,2,1.643,4082.52216298
39,u1,p2033,s1,1,1.835,4082.52216298
40,u1,p2040,s1,1,23.065,4082.52216298
41,u1,p2054,s1,1,14.588,4082.52216298
42,u1,p2096,s1,3,0.649,4082.52216298
43,u1,p2098,s1,5,0.617,4082.52216298
44,u1,p2100,s1,4,0.51,4082.52216298
45,u1,p2114,s1,1,6.44,4082.52216298
46,u1,p2258,s1,1,6.409,4082.52216298
47,u1,p2355,s1,1,6.789,4082.52216298
48,u1,p2358,s1,2,4.119,4082.52216298
49,u1,p2772,s1,1,1.505,4082.52216298
50,u1,p2777,s1,2,1.172,4082.52216298
51,u1,p2785,s1,2,0.658,4082.52216298
52,u1,p2793,s1,1,1.074,4082.52216298
53,u1,p2818,s1,1,1.001,4082.52216298
54,u1,p2836,s1,1,0.969,4082.52216298
55,u1,p2852,s1,1,3.379,4082.52216298
56,u1,p2868,s1,1,2.44,4082.52216298
57,u1,p2880,s1,1,4.143,4082.52216298
58,u1,p2885,s1,1,3.011,4082.52216298
59,u1,p3041,s1,2,4.431,4082.52216298
60,u1,p3055,s1,1,0.688,4082.52216298
61,u1,p3065,s1,1,1.169,4082.52216298
62,u1,p3122,s1,1,2.349,4082.52216298
63,u1,p3222,s1,1,0.479,4082.52216298
64,u1,p3291,s1,1,3.137,4082.52216298
65,u1,p3314,s1,2,2.325,4082.52216298
66,u1,p3330,s1,1,0.917,4082.52216298
67,u1,p3431,s1,1,11.266,4082.52216298
68,u1,p3507,s1,2,1.148,4082.52216298
69,u1,p3522,s1,2,0.626,4082.52216298
70,u1,p3526,s1,1,2.002,4082.52216298
71,u1,p3551,s1,1,1.313,4082.52216298
72,u1,p3631,s1,4,1.5,4082.52216298
73,u1,p3635,s1,1,1.477,4082.52216298
74,u1,p3637,s1,1,1.365,4082.52216298
75,u1,p3639,s1,1,1.293,4082.52216298
76,u1,p3717,s1,1,0.908,4082.52216298
77,u1,p112,s2,16,0.334,985.8761995
78,u1,p113,s2,2,0.269,985.8761995
79,u1,p114,s2,1,0.344,985.8761995
80,u1,p133,s2,27,1.048,985.8761995
81,u1,p143,s2,1,1.579,985.8761995
82,u1,p154,s2,1,2.34,985.8761995
83,u1,p174,s2,2,5.82,985.8761995
84,u1,p178,s2,2,2.079,985.8761995
85,u1,p180,s2,1,1.122,985.8761995
86,u1,p186,s2,1,1.34,985.8761995
87,u1,p196,s2,1,0.699,985.8761995
88,u1,p200,s2,1,3.982,985.8761995
89,u1,p210,s2,1,2.864,985.8761995
90,u1,p218,s2,2,1.042,985.8761995
91,u1,p309,s2,3,0.96,985.8761995
92,u1,p313,s2,1,2.396,985.8761995
93,u1,p315,s2,2,2.69,985.8761995
94,u1,p318,s2,7,1.429,985.8761995
95,u1,p324,s2,1,0.229,985.8761995
96,u1,p326,s2,10,0.465,985.8761995
97,u1,p329,s2,3,1.543,985.8761995
98,u1,p334,s2,1,14.566,985.8761995
99,u1,p335,s2,1,27.172,985.8761995
100,u1,p338,s2,12,6.356,985.8761995
101,u1,p343,s2,1,10.402,985.8761995
102,u1,p348,s2,1,8.417,985.8761995
103,u1,p355,s2,77,0.991,985.8761995
104,u1,p356,s2,14,0.909,985.8761995
105,u1,p359,s2,4,1.032,985.8761995
106,u1,p363,s2,30,1.048,985.8761995
107,u1,p364,s2,5,0.73,985.8761995
108,u1,p365,s2,1,0.812,985.8761995
109,u1,p368,s2,16,0.598,985.8761995
110,u1,p373,s2,1,1.708,985.8761995
111,u1,p379,s2,8,1.171,985.8761995
112,u1,p380,s2,1,1.368,985.8761995
113,u1,p383,s2,9,5.444,985.8761995
114,u1,p390,s2,2,1.738,985.8761995
115,u1,p392,s2,1,1.34,985.8761995
116,u1,p393,s2,1,0.451,985.8761995
117,u1,p396,s2,1,2.26,985.8761995
118,u1,p397,s2,2,1.804,985.8761995
119,u1,p401,s2,2,1.204,985.8761995
120,u1,p402,s2,1,2.419,985.8761995
121,u1,p404,s2,1,3.151,985.8761995
122,u1,p406,s2,6,2.017,985.8761995
123,u1,p442,s2,4,1.883,985.8761995
124,u1,p443,s2,1,1.775,985.8761995
125,u1,p444,s2,1,1.538,985.8761995
126,u1,p445,s2,1,1.977,985.8761995
127,u1,p446,s2,63,1.605,985.8761995
128,u1,p450,s2,4,1.817,985.8761995
129,u1,p453,s2,3,1.826,985.8761995
130,u1,p458,s2,1,1.459,985.8761995
131,u1,p461,s2,5,1.482,985.8761995
132,u1,p464,s2,1,2.378,985.8761995
133,u1,p467,s2,1,3.132,985.8761995
134,u1,p475,s2,1,1.941,985.8761995
135,u1,p480,s2,1,1.593,985.8761995
136,u1,p481,s2,4,1.159,985.8761995
