"Year","Contract_interest_rate(%)","Initial_fees_and_charges(%)","Effective_interest_rate(%)","Term_to_maturity","Purchase_price","Loan_to_price_ratio(%)","Adjustable_rate_loans(%)"
1978,8.51,0.46,8.58,24.70,51.00,69.00,NA,,,,
1979,9.56,0.49,9.65,25.00,59.90,66.00,NA,,,,
1980,12.09,1.23,12.33,25.40,63.00,67.40,NA,,,,
1981,14.85,2.57,15.40,25.10,68.90,65.90,NA,,,,
1982,15.42,2.82,16.04,24.40,76.70,65.10,NA,,,,
1983,12.31,3.07,12.90,25.20,86.40,67.30,NA,,,,
1984,11.84,3.35,12.48,26.20,91.60,71.40,NA,,,,
1985,11.15,2.72,11.65,25.60,109.50,71.20,NA,,,,
1986,9.79,2.21,10.18,24.90,126.30,70.00,34,,,,
1987,8.58,2.01,8.91,27.10,142.70,72.40,60,,,,
1988,8.87,1.84,9.17,27.80,155.20,72.36,65,,,,
1989,9.84,1.62,10.11,28.10,154.60,72.00,42,,,,
1990,9.94,1.40,10.18,27.00,151.00,70.50,25,,,,
1991,9.40,1.21,9.60,25.90,147.10,70.60,18,,,,
1992,8.26,1.29,8.49,24.90,150.40,72.40,14,,,,
1993,7.19,0.90,7.34,23.70,154.50,71.60,20,,,,
1994,7.47,1.02,7.64,25.50,158.90,74.70,35,,,,
1995,7.84,0.83,7.97,26.70,156.40,76.30,23,,,,
1996,7.73,0.55,7.81,26.00,163.00,75.90,17,,,,
1997,7.60,0.87,7.74,27.00,177.90,77.20,16,,,,
1998,7.03,0.81,7.16,27.70,195.50,77.80,9,,,,
1999,7.32,0.49,7.40,27.40,215.80,75.50,13,,,,
2000,8.10,0.47,8.17,27.80,237.00,74.80,19,,,,
2001,7.02,0.27,7.06,27.60,269.90,74.50,12,,,,
2002,6.47,0.20,6.50,27.50,325.80,73.40,18,,,,
2003,5.63,0.21,5.66,26.10,300.40,70.80,12,,,,
2004,5.70,0.28,5.75,27.30,298.10,73.10,23,,,,
2005,5.78,0.29,5.82,28.14,331.93,73.03,20,,,,
2006,6.44,0.25,6.47,28.57,327.69,75.12,16,,,,
2007,6.40,0.31,6.45,29.13,337.74,77.63,11,,,,
2008,6.03,0.39,6.09,28.91,360.32,76.37,NA*,,,,
2009,5.06,0.59,5.15,28.58,374.20,73.67,1,,,,
2010,4.80,0.50,4.87,28.12,336.11,73.84,2,,,,
2011,4.55,0.28,4.59,28.30,223.20,81.79,NA*,,,,
2012*,3.62,0.76,3.71,26.88,446.96,71.88,11,,,,
